ÅÄÂôÊ±¼ä,Í¶·ÅÊýÁ¿,×îµÍ³É½»¼Û,Æ½¾ù³É½»¼Û,×îµÍ³É½»¼Û½ØÖ¹Ê±¼ä,Í¶±êÈËÊý
2017Äê1ÔÂ,12215,87600,87685,11:29:57 µÚ4000Î»,232101
2017Äê2ÔÂ,10157,88200,88240,11:29:58 µÚ843Î»,251717
2017Äê3ÔÂ,10356,87800,87916,11:29:55 µÚ1476Î»,262010
2017Äê4ÔÂ,12196,89800,89850,11:29:59 µÚ154Î»,252273
2017Äê5ÔÂ,10316,90100,90209,11:29:55 µÚ1145Î»,270197
2017Äê6ÔÂ,10312,89400,89532,11:29:45 µÚ766Î»,244349
2017Äê7ÔÂ,10325,92200,92250,11:29:57 µÚ1471Î»,269189
2016Äê1ÔÂ,9409,82200,82352,11:29:46 µÚ491Î»,187533
2016Äê2ÔÂ,8363,83200,83244,11:29:58 µÚ224Î»,196470
2016Äê3ÔÂ,8310,83100,83148,11:29:57 µÚ1040Î»,221109
2016Äê4ÔÂ,11829,85100,85127,11:29:59 µÚ1396Î»,256897
2016Äê5ÔÂ,11598,85000,85058,11:29:58 µÚ696Î»,277889
2016Äê6ÔÂ,11546,84400,84483,11:29:54 µÚ292Î»,275438
2016Äê7ÔÂ,11475,87200,87235,11:29:57 µÚ2457Î»,240750
2016Äê8ÔÂ,11549,86900,86946,11:29:58 µÚ3113Î»,251188
2016Äê9ÔÂ,12889,86500,86523,11:29:59 µÚ2864Î»,229544
2016Äê10ÔÂ,11621,88300,88359,11:29:59 µÚ759Î»,213212
2016Äê11ÔÂ,11549,88600,88665,11:29:57 µÚ2181Î»,215424
2016Äê12ÔÂ,12261,88300,88412,11:29:54 µÚ1512Î»,219882
2015Äê1ÔÂ,7990,74000,74216,11:02:48 µÚ2Î»,98203
2015Äê2ÔÂ,7653,76500,76618,11:29:49 µÚ73Î»,103224
2015Äê3ÔÂ,7406,74600,74830,11:20:16 µÚ6Î»,132690
2015Äê4ÔÂ,8288,80600,80759,11:29:41 µÚ115Î»,152298
2015Äê5ÔÂ,7482,79000,79099,11:29:53 µÚ20Î»,156007
2015Äê6ÔÂ,7441,80000,80020,11:29:59 µÚ512Î»,172205
2015Äê7ÔÂ,7531,83100,83171,11:29:55 µÚ670Î»,166302
2015Äê8ÔÂ,7454,82600,82642,11:29:58 µÚ949Î»,166939
2015Äê9ÔÂ,8727,82100,82172,11:29:58 µÚ540Î»,165765
2015Äê10ÔÂ,7763,85300,85424,11:29:52  µÚ72Î»,170995
2015Äê11ÔÂ,7514,84600,84703,11:29:56  µÚ889Î»,169159
2015Äê12ÔÂ,7698,84500,84572,11:29:57  µÚ867Î»,179133
2014Äê1ÔÂ,8100,73500,73501,11:29:59  µÚ158Î»,41946
2014Äê2ÔÂ,7400,73200,73357,11:29:44  µÚ347Î»,45758
2014Äê3ÔÂ,7400,73800,73872,11:29:48  µÚ259Î»,61853
2014Äê4ÔÂ,8200,74000,74113,11:29:45  µÚ44Î»,94241
2014Äê5ÔÂ,7400,74400,74503,11:29:48  µÚ219Î»,114121
2014Äê6ÔÂ,7400,73800,73896,11:29:45  µÚ238Î»,135677
2014Äê7ÔÂ,7400,74600,74680,11:29:59  µÚ23Î»,136098
2014Äê8ÔÂ,7400,73600,73785,11:29:44  µÚ53Î»,121550
2014Äê9ÔÂ,8300,73800,73875,11:29:52  µÚ183Î»,122219
2014Äê10ÔÂ,7400,74000,74075,11:29:59  µÚ30Î»,105532
2014Äê11ÔÂ,7400,73500,73633,11:29:50  µÚ77Î»,95595
2014Äê12ÔÂ,7447,73600,73687,11:29:56  µÚ628Î»,96972
2013Äê1ÔÂ,9000ÕÅ,75000,75332,11£º29£º40 µÚ65Î»,20857
2013Äê2ÔÂ,9000ÕÅ,83300,83571,11£º29£º59 µÚ113Î»,24651
2013Äê3ÔÂ,9000ÕÅ,90800,91898,11£º29£º44 µÚ1Î»,23589
2013Äê4ÔÂ,11000ÕÅ,83900,84101,11£º27£º04 µÚ3Î»,26174
2013Äê5ÔÂ,9000ÕÅ,80700,80803,11£º29£º26 µÚ4Î»,22224
2013Äê6ÔÂ,9000ÕÅ,77600,77823,11£º21£º22 µÚ1Î»,21482
2013Äê7ÔÂ,9000ÕÅ,76300,76465,11£º29£º22 µÚ933Î»,21811
2013Äê8ÔÂ,9000ÕÅ,74700,74939,11£º29£º24 µÚ30Î»,22650
2013Äê9ÔÂ,9000ÕÅ,73400,73492,11:29:54 µÚ96Î»,35154
2013Äê10ÔÂ,10000ÕÅ,82300,83723,11£º29£º56 µÚ309Î»,28887
2013Äê11ÔÂ,8500ÕÅ,75500,75717,11£º29£º34 µÚ5Î»,38220
2013Äê12ÔÂ,8500ÕÅ,76000,76093,11£º29£º50 µÚ13Î»,39625
