time,total_num,warning,population,lowest,average
1,7990,74000,98203,74000,74216
2,7653,74000,103224,76500,76618
3,7406,76500,132690,74600,74830
4,8288,111372.3333,152298,80600,80759
5,7482,129404,156007,79000,79099
6,7441,146998.3333,172205,80000,80020
7,7531,160170,166302,83100,83171
8,7454,164838,166939,82600,82642
9,8727,168482,165765,82100,82172
10,7763,166335.3333,170995,85300,85424
11,7514,167899.6667,169159,84600,84703
12,7698,168639.6667,179133,84500,84572
13,9409,173095.6667,187533,82200,82352
14,8363,178608.3333,196470,83200,83244
15,8310,187712,221109,83100,83148
16,11829,201704,256897,85100,85127
17,11598,224825.3333,277889,85000,85058
18,11546,251965,275438,84400,84483
19,11475,270074.6667,240750,87200,87235
20,11549,264692.3333,251188,86900,86946
21,12889,255792,229544,86500,86523
22,11621,240494,213212,88300,88359
23,11549,231314.6667,215424,88600,88665
24,12261,219393.3333,219882,88300,88412
25,12215,216172.6667,232101,87600,87685
26,10157,222469,251717,88200,88240
27,10356,234566.6667,262010,87800,87916
28,12196,248609.3333,252273,89800,89850
29,10316,255333.3333,270197,90100,90209
30,10312,261493.3333,244349,89400,89532
31,10325,255606.3333,269189,92200,92250
