time,time_weight,time_modified,total_num,last_month,warning,population,lowest,average
1,1,2,8000,0,37800 ,18975,37800,38311
2,1,3,7500,0,38311 ,18810,38300,38620
3,1,4,8000,-1,38466 ,17704,39600,39882
4,1,5,8500,-1,38938 ,17313,41000,41637
5,1,6,8500,-1,40046 ,16324,41900,42262
6,1,7,9200,-1,41260 ,16252,39200,40380
7,1,8,9000,1,41426 ,13389,38400,39362
8,1,9,9000,1,40668 ,16855,39800,40169
9,1,10,9000,-1,39970 ,15198,41800,42180
10,1,11,9000,-1,40570 ,14941,43000,43271
11,1,12,8500,-1,41873 ,13429,44900,45291
12,1,13,9000,-1,43581 ,11224,10400,15970
13,1.1,14.1,8000,1,34844 ,30675,38300,38771
14,1.1,15.1,7500,-1,33344 ,25104,44200,44627
15,1.1,16.1,8000,-1,33123 ,25014,46200,46657
16,1.1,17.1,8000,-1,43352 ,22326,46300,47399
17,1.1,18.1,9000,0,46228 ,25708,47400,47700
18,1.1,19.1,9000,-1,47252 ,22474,48500,48855
19,1.1,20.1,9000,-1,47985 ,21852,50900,51174
20,1.1,21.1,9000,-1,49243 ,21544,51000,52228
21,1.1,22.1,9500,0,50752 ,22268,52200,52622
22,1.1,23.1,9000,-1,52008 ,19415,53800,54008
23,1.1,24.1,9000,-1,52953 ,20050,45700,47635
24,1.1,25.1,8500,1,51422 ,26531,51000,51437
25,1.2,26.2,8000,-1,51027 ,24354,52800,53195
26,1.2,27.2,8000,-1,50756 ,23391,55400,55632
27,1.2,28.2,8000,-1,53421 ,24897,58300,58625
28,1.2,29.2,8500,-1,55817 ,22706,61000,61626
29,1.2,30.2,9300,-1,58628 ,24230,64000,64367
30,1.2,31.2,9500,-1,61539 ,24774,55800,58227
31,1.2,32.2,9500,1,61407 ,26526,57700,58271
32,1.2,33.2,9500,-1,60288 ,21425,62100,62559
33,1.2,34.2,9500,-1,59686 ,19114,65700,66425
34,1.2,35.2,9500,-1,62418 ,19921,65200,66708
35,1.2,36.2,9500,1,65231 ,19120,66400,66946
36,1.2,37.2,9300,-1,66693 ,18244,68900,69346
37,1.3,38.3,9000,-1,67667 ,24651,83300,83571
38,1.3,39.3,9000,-1,73288 ,23589,90800,91898
39,1.3,40.3,11000,-1,81605 ,26174,83900,84101
40,1.3,41.3,9000,1,86523 ,22224,80700,80803
41,1.3,42.3,9000,1,85601 ,21482,77600,77823
42,1.3,43.3,9000,1,80909 ,21811,76300,76465
43,1.3,44.3,9000,1,78364 ,22650,74700,74939
44,1.3,45.3,9000,1,76409 ,35154,73400,73492
45,1.3,46.3,10000,1,74965 ,28887,82300,83723
46,1.3,47.3,8500,-1,77385 ,38220,75500,75717
47,1.3,48.3,8500,1,77644 ,39625,76000,76093
48,1.3,49.3,8100,-1,78511 ,41946,73500,73501
49,1.4,50.4,7400,1,75104 ,45758,73200,73357
50,1.4,51.4,7400,0,74317 ,61853,73800,73872
51,1.4,52.4,8200,-1,73577 ,94241,74000,74113
52,1.4,53.4,7400,-1,73781 ,114121,74400,74503
53,1.4,54.4,7400,-1,74163 ,135677,73800,73896
54,1.4,55.4,7400,1,74171 ,136098,74600,74680
55,1.4,56.4,7400,-1,74360 ,121550,73600,73785
56,1.4,57.4,8300,1,74120 ,122219,73800,73875
57,1.4,58.4,7400,-1,74113 ,105532,74000,74075
58,1.4,59.4,7400,-1,73912 ,95595,73500,73633
59,1.4,60.4,7447,1,73861 ,96972,73600,73687
60,1.4,61.4,7990,0,73798 ,98203,74000,74216
61,1.5,62.5,7653,-1,73845 ,103224,76500,76618
62,1.5,63.5,7406,-1,74840 ,132690,74600,74830
63,1.5,64.5,8288,1,75221 ,152298,80600,80759
64,1.5,65.5,7482,-1,77402 ,156007,79000,79099
65,1.5,66.5,7441,1,78229 ,172205,80000,80020
66,1.5,67.5,7531,-1,79959 ,166302,83100,83171
67,1.5,68.5,7454,-1,80763 ,166939,82600,82642
68,1.5,69.5,8727,1,81944 ,165765,82100,82172
69,1.5,70.5,7763,1,82662 ,170995,85300,85424
70,1.5,71.5,7514,-1,83413 ,169159,84600,84703
71,1.5,72.5,7698,1,84100 ,179133,84500,84572
72,1.5,73.5,9409,0,84900 ,187533,82200,82352
73,1.6,74.6,8363,1,83876 ,196470,83200,83244
74,1.6,75.6,8310,-1,83389 ,221109,83100,83148
75,1.6,76.6,11829,0,82915 ,256897,85100,85127
76,1.6,77.6,11598,-1,83840 ,277889,85000,85058
77,1.6,78.6,11546,0,84444 ,275438,84400,84483
78,1.6,79.6,11475,1,84889 ,240750,87200,87235
79,1.6,80.6,11549,-1,85592 ,251188,86900,86946
80,1.6,81.6,12889,1,86221 ,229544,86500,86523
81,1.6,82.6,11621,1,86901 ,213212,88300,88359
82,1.6,83.6,11549,-1,87276 ,215424,88600,88665
83,1.6,84.6,12261,-1,87849 ,219882,88300,88412
84,1.6,85.6,12215,1,88479 ,232101,87600,87685
85,1.7,86.7,10157,1,88254 ,251717,88200,88240
86,1.7,87.7,10356,-1,88112 ,262010,87800,87916
87,1.7,88.7,12196,1,87947 ,252273,89800,89850
88,1.7,89.7,10316,-1,88669 ,270197,90100,90209
89,1.7,90.7,10312,-1,89325 ,244349,89400,89532
90,1.7,91.7,10325,1,89864 ,269189,92200,92250
91,1.7,92.7,10558,-1,90664 ,256083,90000,90000
